schema_version,test_name,seed,attempt_id,event_id,label,source,stop_model,accepted,rejected,reject_reason,start_time_ps,stop_time_ps,true_dt_ps,start_phase_sys_ps,start_phase_ref_ps,ref_phase_offset_ps,max_hits,out_mode,bp_mode,start_only,expect_packet
1,vip_maxhits_matrix,7003,0,0,vip_mh1_b0,0,qualified_ref,1,0,none,309375,329921,20546,3125,14296,4921,1,0,always_ready,0,1
1,vip_maxhits_matrix,7003,1,1,vip_mh1_b1,0,qualified_ref,1,0,none,1840625,1854921,14296,3125,20546,4921,1,0,random_50,0,1
1,vip_maxhits_matrix,7003,2,2,vip_mh1_b2,0,qualified_ref,1,0,none,3365625,3379921,14296,3125,20546,4921,1,0,bounded_stall,0,1
1,vip_maxhits_matrix,7003,3,3,vip_mh2_b0,0,qualified_ref,1,0,none,8490625,8504921,14296,3125,20546,4921,2,0,always_ready,0,1
1,vip_maxhits_matrix,7003,4,4,vip_mh2_b1,0,qualified_ref,1,0,none,10015625,10029921,14296,3125,20546,4921,2,0,random_50,0,1
1,vip_maxhits_matrix,7003,5,5,vip_mh2_b2,0,qualified_ref,1,0,none,11540625,11554921,14296,3125,20546,4921,2,0,bounded_stall,0,1
1,vip_maxhits_matrix,7003,6,6,vip_mh8_b0,0,qualified_ref,1,0,none,16665625,16679921,14296,3125,20546,4921,8,0,always_ready,0,1
1,vip_maxhits_matrix,7003,7,7,vip_mh8_b1,0,qualified_ref,1,0,none,18190625,18204921,14296,3125,20546,4921,8,0,random_50,0,1
1,vip_maxhits_matrix,7003,8,8,vip_mh8_b2,0,qualified_ref,1,0,none,19715625,19729921,14296,3125,20546,4921,8,0,bounded_stall,0,1
1,vip_maxhits_matrix,7003,9,9,vip_mh15_b0,0,qualified_ref,1,0,none,24840625,24854921,14296,3125,20546,4921,15,0,always_ready,0,1
1,vip_maxhits_matrix,7003,10,10,vip_mh15_b1,0,qualified_ref,1,0,none,26365625,26379921,14296,3125,20546,4921,15,0,random_50,0,1
1,vip_maxhits_matrix,7003,11,11,vip_mh15_b2,0,qualified_ref,1,0,none,27890625,27904921,14296,3125,20546,4921,15,0,bounded_stall,0,1
